,open,high,low,close,adj_close,volume,log_return,industrial_production,__age_days_industrial_production,vix_index,__age_days_vix_index,inflation,__age_days_inflation,fed_funds_rate,__age_days_fed_funds_rate,energy_index,__age_days_energy_index,unemployment_rate,__age_days_unemployment_rate,us10y_treasury_yield,__age_days_us10y_treasury_yield,consumer_sentiment,__age_days_consumer_sentiment,gdp_growth,__age_days_gdp_growth,inflation_wb,__age_days_inflation_wb,trade_openness,__age_days_trade_openness,unemployment_wb,__age_days_unemployment_wb,energy_usage,__age_days_energy_usage
us10y_treasury_yield,0.27999645174953103,0.2797650026262082,0.2776702968881508,0.28260528079733915,0.28260528079733915,0.3042180771252994,0.28260528079733915,0.32693821266738143,0.30167849877068076,0.2635222140988722,0.30167849877068076,0.5253450650206706,0.29788123387943577,0.38551141435691094,0.29788123387943577,0.5132080580288332,0.30167849877068076,0.24602693788598778,0.29788123387943577,1.0,0.29788123387943577,0.3773473497772967,0.29788123387943577,0.3553670422237667,0.30151269385212653,0.3528464503809575,0.30151269385212653,0.3613127582285193,0.2886425126822452,0.1944688292351305,0.30151269385212653,0.4482905859499578,0.2886425126822452
__age_days_us10y_treasury_yield,0.30176344602774413,0.29997713688091676,0.30744138977746965,0.29986690775368974,0.29986690775368974,0.3108600852226755,0.29986690775369024,0.29726307361306875,0.6490948734793582,0.29735574878595106,0.6490948734793582,0.2964810885374501,0.9475,0.2978814808441036,0.9475,0.29664990108194494,0.6490948734793582,0.29728028369632964,0.9475,0.29788123387943577,1.0,0.29900402139654497,0.9475,0.2966322415092364,0.4246171817621527,0.2956706124395744,0.4246171817621527,0.29929708773780334,0.38231874132924604,0.30241702896233175,0.4246171817621527,0.2999257371527754,0.38231874132924604
consumer_sentiment,0.29585409876543983,0.29713081839848465,0.2975096823261533,0.29894189844461583,0.29894189844461583,0.295453254482179,0.29894189844461594,0.45577750144569695,0.2970896236072692,0.23728559754331074,0.2970896236072692,0.32031828677725005,0.29900402139654497,0.42162346259238315,0.29900402139654497,0.3982914430386121,0.2970896236072692,0.11757264629984704,0.29900402139654497,0.3773473497772967,0.29900402139654497,1.0,0.29900402139654497,0.3024572210938909,0.28254359568405374,0.28338669657435916,0.28254359568405374,0.24590872089198662,0.3067828221106662,0.24040479730114012,0.28254359568405374,0.27993480596078935,0.3067828221106662
__age_days_consumer_sentiment,0.30176344602774413,0.29997713688091676,0.30744138977746965,0.29986690775368974,0.29986690775368974,0.3108600852226755,0.29986690775369024,0.29726307361306875,0.6490948734793582,0.29735574878595106,0.6490948734793582,0.2964810885374501,0.9475,0.2978814808441036,0.9475,0.29664990108194494,0.6490948734793582,0.29728028369632964,0.9475,0.29788123387943577,0.9475,0.29900402139654497,1.0,0.2966322415092364,0.4246171817621527,0.2956706124395744,0.4246171817621527,0.29929708773780334,0.38231874132924604,0.30241702896233175,0.4246171817621527,0.2999257371527754,0.38231874132924604
gdp_growth,0.2971838374792794,0.29505686814675264,0.2941977520020516,0.2953672732374435,0.2953672732374435,0.2961372576526466,0.2953672732374434,0.41436474263282475,0.30638653208313577,0.25794450814783143,0.30638653208313577,0.49334085353675405,0.2966322415092364,0.34027629211971155,0.2966322415092364,0.43701933789115954,0.30638653208313577,0.16953327189041423,0.2966322415092364,0.3553670422237667,0.2966322415092364,0.3024572210938909,0.2966322415092364,1.0,0.29753102948947024,0.8077030298882778,0.29753102948947024,0.5613018274158552,0.2947841900339295,-0.10490272781933996,0.29753102948947024,0.4825403639820669,0.2947841900339295
__age_days_gdp_growth,0.31674145433044193,0.3190042193037026,0.33144170796681144,0.3223927174802757,0.3223927174802757,0.2814561074147363,0.32239271748027587,0.28896354108943884,0.36513987254838337,0.2987171497424847,0.36513987254838337,0.2957181836045071,0.4246171817621527,0.30909818470569367,0.4246171817621527,0.30514080007181144,0.36513987254838337,0.2999227073644115,0.4246171817621527,0.30151269385212653,0.4246171817621527,0.28254359568405374,0.4246171817621527,0.29753102948947024,1.0,0.2977466055418785,0.9475,0.3028342290034261,0.600590290358185,0.2971198429794508,0.9475,0.30317834898343965,0.600590290358185
inflation_wb,0.30785688919503684,0.30804244826355986,0.30794782770204443,0.30569745531453185,0.30569745531453185,0.2942815016036808,0.30569745531453174,0.3937725339084126,0.30287934336620753,0.27013716152079165,0.30287934336620753,0.48954849338080897,0.2956706124395744,0.3035896201617576,0.2956706124395744,0.470712729620545,0.30287934336620753,0.23116731573173127,0.2956706124395744,0.3528464503809575,0.2956706124395744,0.28338669657435916,0.2956706124395744,0.8077030298882778,0.2977466055418785,1.0,0.2977466055418785,0.5388330763499041,0.27904626723762294,0.05430959331767854,0.2977466055418785,0.4390486467283674,0.27904626723762294
__age_days_inflation_wb,0.31674145433044193,0.3190042193037026,0.33144170796681144,0.3223927174802757,0.3223927174802757,0.2814561074147363,0.32239271748027587,0.28896354108943884,0.36513987254838337,0.2987171497424847,0.36513987254838337,0.2957181836045071,0.4246171817621527,0.30909818470569367,0.4246171817621527,0.30514080007181144,0.36513987254838337,0.2999227073644115,0.4246171817621527,0.30151269385212653,0.4246171817621527,0.28254359568405374,0.4246171817621527,0.29753102948947024,0.9475,0.2977466055418785,1.0,0.3028342290034261,0.600590290358185,0.2971198429794508,0.9475,0.30317834898343965,0.600590290358185
trade_openness,0.29719679778770686,0.29639960477164595,0.29810560059432023,0.2969575690856735,0.2969575690856735,0.29623044786872155,0.29695756908567345,0.41526299614103723,0.2994786493211425,0.2738659338596668,0.2994786493211425,0.5127273662424426,0.29929708773780334,0.2745162260797403,0.29929708773780334,0.37329125244373507,0.2994786493211425,0.2292759778669048,0.29929708773780334,0.3613127582285193,0.29929708773780334,0.24590872089198662,0.29929708773780334,0.5613018274158552,0.3028342290034261,0.5388330763499041,0.3028342290034261,1.0,0.3075142167405793,0.031030502953627803,0.3028342290034261,0.6947282469105571,0.3075142167405793
__age_days_trade_openness,0.3327540081024549,0.31940937203183634,0.3275709755486122,0.3086057493764245,0.3086057493764245,0.2954741321033506,0.3086057493764248,0.2952221484511293,0.42367047010200876,0.30042616347021067,0.42367047010200876,0.2839351429851299,0.38231874132924604,0.2761559896939763,0.38231874132924604,0.27864289753485183,0.42367047010200876,0.29670189542470504,0.38231874132924604,0.2886425126822452,0.38231874132924604,0.3067828221106662,0.38231874132924604,0.2947841900339295,0.600590290358185,0.27904626723762294,0.600590290358185,0.3075142167405793,1.0,0.3129291466418719,0.6005902903581851,0.26626864673624207,0.9475
unemployment_wb,0.302630537311539,0.3051046808743501,0.3072309350193529,0.303292643316219,0.303292643316219,0.29726476729409623,0.3032926433162191,0.15700107111953657,0.28817429185656085,0.34482684224768234,0.28817429185656085,0.07289931499183983,0.30241702896233175,-0.014810234816442336,0.30241702896233175,0.22576021060496354,0.28817429185656085,0.45583097407912254,0.30241702896233175,0.1944688292351305,0.30241702896233175,0.24040479730114012,0.30241702896233175,-0.10490272781933996,0.2971198429794508,0.05430959331767854,0.2971198429794508,0.031030502953627803,0.3129291466418719,1.0,0.2971198429794508,-0.1447694854446172,0.3129291466418719
__age_days_unemployment_wb,0.31674145433044193,0.3190042193037026,0.33144170796681144,0.3223927174802757,0.3223927174802757,0.2814561074147363,0.32239271748027587,0.28896354108943884,0.36513987254838337,0.2987171497424847,0.36513987254838337,0.2957181836045071,0.4246171817621527,0.30909818470569367,0.4246171817621527,0.30514080007181144,0.36513987254838337,0.2999227073644115,0.4246171817621527,0.30151269385212653,0.4246171817621527,0.28254359568405374,0.4246171817621527,0.29753102948947024,0.9475,0.2977466055418785,0.9475,0.3028342290034261,0.6005902903581851,0.2971198429794508,1.0,0.30317834898343965,0.600590290358185
energy_usage,0.29381781882699515,0.29330135302626836,0.2914699867591184,0.2901204601781389,0.2901204601781389,0.2982437928181811,0.29012046017813886,0.39897526186158117,0.30182102153110346,0.25856100675246363,0.30182102153110346,0.5459478318695017,0.2999257371527754,0.5276439072959412,0.2999257371527754,0.32953704197974304,0.30182102153110346,0.22372939672787973,0.2999257371527754,0.4482905859499578,0.2999257371527754,0.27993480596078935,0.2999257371527754,0.4825403639820669,0.30317834898343965,0.4390486467283674,0.30317834898343965,0.6947282469105571,0.26626864673624207,-0.1447694854446172,0.30317834898343965,1.0,0.26626864673624207
__age_days_energy_usage,0.3327540081024549,0.31940937203183634,0.3275709755486122,0.3086057493764245,0.3086057493764245,0.2954741321033506,0.3086057493764248,0.2952221484511293,0.42367047010200876,0.30042616347021067,0.42367047010200876,0.2839351429851299,0.38231874132924604,0.2761559896939763,0.38231874132924604,0.27864289753485183,0.42367047010200876,0.29670189542470504,0.38231874132924604,0.2886425126822452,0.38231874132924604,0.3067828221106662,0.38231874132924604,0.2947841900339295,0.600590290358185,0.27904626723762294,0.600590290358185,0.3075142167405793,0.9475,0.3129291466418719,0.600590290358185,0.26626864673624207,1.0
